Ramas de actividad;Tipo de indicador;Tamaño de la empresa;Total
13. Material y equipo eléctrico (CNAE 27);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;89
13. Material y equipo eléctrico (CNAE 27);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;34
13. Material y equipo eléctrico (CNAE 27);Total de empresas innovadoras (producto y/o procesos de negocio);Total;297
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de producto;De 10 a 49 empleados;106
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de producto;De 50 a 249 empleados;70
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de producto;250 y más empleados;30
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de producto;Total;207
13. Material y equipo eléctrico (CNAE 27);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;20
13. Material y equipo eléctrico (CNAE 27);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;9
13. Material y equipo eléctrico (CNAE 27);- Exclusivamente innovadoras de producto;250 y más empleados;4
13. Material y equipo eléctrico (CNAE 27);- Exclusivamente innovadoras de producto;Total;34
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;153
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;80
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de procesos de negocio;250 y más empleados;30
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de procesos de negocio;Total;263
13. Material y equipo eléctrico (CNAE 27);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;67
13. Material y equipo eléctrico (CNAE 27);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;19
13. Material y equipo eléctrico (CNAE 27);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;4
13. Material y equipo eléctrico (CNAE 27);- Exclusivamente innovadoras de procesos de negocio;Total;90
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;86
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;61
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;26
13. Material y equipo eléctrico (CNAE 27);Empresas innovadoras de producto y de procesos de negocio;Total;173
14. Otra maquinaria y equipo (CNAE 28);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;605
14. Otra maquinaria y equipo (CNAE 28);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;233
14. Otra maquinaria y equipo (CNAE 28);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;54
14. Otra maquinaria y equipo (CNAE 28);Total de empresas innovadoras (producto y/o procesos de negocio);Total;891
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de producto;De 10 a 49 empleados;425
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de producto;De 50 a 249 empleados;199
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de producto;250 y más empleados;51
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de producto;Total;674
14. Otra maquinaria y equipo (CNAE 28);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;100
14. Otra maquinaria y equipo (CNAE 28);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;34
14. Otra maquinaria y equipo (CNAE 28);- Exclusivamente innovadoras de producto;250 y más empleados;1
14. Otra maquinaria y equipo (CNAE 28);- Exclusivamente innovadoras de producto;Total;135
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;505
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;199
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de procesos de negocio;250 y más empleados;53
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de procesos de negocio;Total;756
14. Otra maquinaria y equipo (CNAE 28);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;180
14. Otra maquinaria y equipo (CNAE 28);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;34
14. Otra maquinaria y equipo (CNAE 28);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;3
14. Otra maquinaria y equipo (CNAE 28);- Exclusivamente innovadoras de procesos de negocio;Total;217
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;325
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;164
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;50
14. Otra maquinaria y equipo (CNAE 28);Empresas innovadoras de producto y de procesos de negocio;Total;539
15. Vehículos de motor (CNAE 29);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;126
15. Vehículos de motor (CNAE 29);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;120
15. Vehículos de motor (CNAE 29);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;63
15. Vehículos de motor (CNAE 29);Total de empresas innovadoras (producto y/o procesos de negocio);Total;309
15. Vehículos de motor (CNAE 29);Empresas innovadoras de producto;De 10 a 49 empleados;56
15. Vehículos de motor (CNAE 29);Empresas innovadoras de producto;De 50 a 249 empleados;78
15. Vehículos de motor (CNAE 29);Empresas innovadoras de producto;250 y más empleados;51
15. Vehículos de motor (CNAE 29);Empresas innovadoras de producto;Total;184
15. Vehículos de motor (CNAE 29);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;8
15. Vehículos de motor (CNAE 29);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;12
15. Vehículos de motor (CNAE 29);- Exclusivamente innovadoras de producto;250 y más empleados;1
15. Vehículos de motor (CNAE 29);- Exclusivamente innovadoras de producto;Total;21
15. Vehículos de motor (CNAE 29);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;118
15. Vehículos de motor (CNAE 29);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;108
15. Vehículos de motor (CNAE 29);Empresas innovadoras de procesos de negocio;250 y más empleados;62
15. Vehículos de motor (CNAE 29);Empresas innovadoras de procesos de negocio;Total;288
15. Vehículos de motor (CNAE 29);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;71
15. Vehículos de motor (CNAE 29);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;42
15. Vehículos de motor (CNAE 29);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;12
15. Vehículos de motor (CNAE 29);- Exclusivamente innovadoras de procesos de negocio;Total;125
15. Vehículos de motor (CNAE 29);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;48
15. Vehículos de motor (CNAE 29);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;66
15. Vehículos de motor (CNAE 29);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;50
15. Vehículos de motor (CNAE 29);Empresas innovadoras de producto y de procesos de negocio;Total;163
16. Otro material de transporte (CNAE 30);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;82
16. Otro material de transporte (CNAE 30);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;32
16. Otro material de transporte (CNAE 30);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;18
16. Otro material de transporte (CNAE 30);Total de empresas innovadoras (producto y/o procesos de negocio);Total;132
16. Otro material de transporte (CNAE 30);Empresas innovadoras de producto;De 10 a 49 empleados;45
16. Otro material de transporte (CNAE 30);Empresas innovadoras de producto;De 50 a 249 empleados;21
16. Otro material de transporte (CNAE 30);Empresas innovadoras de producto;250 y más empleados;13
16. Otro material de transporte (CNAE 30);Empresas innovadoras de producto;Total;78
16. Otro material de transporte (CNAE 30);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;19
16. Otro material de transporte (CNAE 30);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;7
16. Otro material de transporte (CNAE 30);- Exclusivamente innovadoras de producto;250 y más empleados;.
16. Otro material de transporte (CNAE 30);- Exclusivamente innovadoras de producto;Total;26
16. Otro material de transporte (CNAE 30);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;64
16. Otro material de transporte (CNAE 30);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;25
16. Otro material de transporte (CNAE 30);Empresas innovadoras de procesos de negocio;250 y más empleados;18
16. Otro material de transporte (CNAE 30);Empresas innovadoras de procesos de negocio;Total;106
16. Otro material de transporte (CNAE 30);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;38
16. Otro material de transporte (CNAE 30);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;11
16. Otro material de transporte (CNAE 30);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;5
16. Otro material de transporte (CNAE 30);- Exclusivamente innovadoras de procesos de negocio;Total;54
16. Otro material de transporte (CNAE 30);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;26
16. Otro material de transporte (CNAE 30);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;14
16. Otro material de transporte (CNAE 30);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;13
16. Otro material de transporte (CNAE 30);Empresas innovadoras de producto y de procesos de negocio;Total;52
16.1. Construcción naval (CNAE 301);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;..
16.1. Construcción naval (CNAE 301);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;8
16.1. Construcción naval (CNAE 301);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;..
16.1. Construcción naval (CNAE 301);Total de empresas innovadoras (producto y/o procesos de negocio);Total;54
16.1. Construcción naval (CNAE 301);Empresas innovadoras de producto;De 10 a 49 empleados;..
16.1. Construcción naval (CNAE 301);Empresas innovadoras de producto;De 50 a 249 empleados;4
16.1. Construcción naval (CNAE 301);Empresas innovadoras de producto;250 y más empleados;..
16.1. Construcción naval (CNAE 301);Empresas innovadoras de producto;Total;24
16.1. Construcción naval (CNAE 301);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;..
16.1. Construcción naval (CNAE 301);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;1
16.1. Construcción naval (CNAE 301);- Exclusivamente innovadoras de producto;250 y más empleados;..
16.1. Construcción naval (CNAE 301);- Exclusivamente innovadoras de producto;Total;11
16.1. Construcción naval (CNAE 301);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;..
16.1. Construcción naval (CNAE 301);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;7
16.1. Construcción naval (CNAE 301);Empresas innovadoras de procesos de negocio;250 y más empleados;..
16.1. Construcción naval (CNAE 301);Empresas innovadoras de procesos de negocio;Total;42
16.1. Construcción naval (CNAE 301);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;..
16.1. Construcción naval (CNAE 301);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;4
16.1. Construcción naval (CNAE 301);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;..
16.1. Construcción naval (CNAE 301);- Exclusivamente innovadoras de procesos de negocio;Total;29
16.1. Construcción naval (CNAE 301);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;..
16.1. Construcción naval (CNAE 301);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;3
16.1. Construcción naval (CNAE 301);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;..
16.1. Construcción naval (CNAE 301);Empresas innovadoras de producto y de procesos de negocio;Total;13
16.2. Construcción aeronáutica y espacial (CNAE 303);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;18
16.2. Construcción aeronáutica y espacial (CNAE 303);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;8
16.2. Construcción aeronáutica y espacial (CNAE 303);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;8
16.2. Construcción aeronáutica y espacial (CNAE 303);Total de empresas innovadoras (producto y/o procesos de negocio);Total;34
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de producto;De 10 a 49 empleados;13
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de producto;De 50 a 249 empleados;5
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de producto;250 y más empleados;6
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de producto;Total;24
16.2. Construcción aeronáutica y espacial (CNAE 303);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;3
16.2. Construcción aeronáutica y espacial (CNAE 303);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;1
16.2. Construcción aeronáutica y espacial (CNAE 303);- Exclusivamente innovadoras de producto;250 y más empleados;.
16.2. Construcción aeronáutica y espacial (CNAE 303);- Exclusivamente innovadoras de producto;Total;4
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;15
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;7
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de procesos de negocio;250 y más empleados;8
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de procesos de negocio;Total;31
16.2. Construcción aeronáutica y espacial (CNAE 303);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;5
16.2. Construcción aeronáutica y espacial (CNAE 303);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;3
16.2. Construcción aeronáutica y espacial (CNAE 303);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;2
16.2. Construcción aeronáutica y espacial (CNAE 303);- Exclusivamente innovadoras de procesos de negocio;Total;10
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;10
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;4
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;6
16.2. Construcción aeronáutica y espacial (CNAE 303);Empresas innovadoras de producto y de procesos de negocio;Total;20
16.3. Otro equipo de transporte (CNAE 30-301-303);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;16
16.3. Otro equipo de transporte (CNAE 30-301-303);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);Total de empresas innovadoras (producto y/o procesos de negocio);Total;44
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de producto;De 10 a 49 empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de producto;De 50 a 249 empleados;12
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de producto;250 y más empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de producto;Total;30
16.3. Otro equipo de transporte (CNAE 30-301-303);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;5
16.3. Otro equipo de transporte (CNAE 30-301-303);- Exclusivamente innovadoras de producto;250 y más empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);- Exclusivamente innovadoras de producto;Total;11
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;10
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de procesos de negocio;250 y más empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de procesos de negocio;Total;33
16.3. Otro equipo de transporte (CNAE 30-301-303);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;4
16.3. Otro equipo de transporte (CNAE 30-301-303);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);- Exclusivamente innovadoras de procesos de negocio;Total;14
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;6
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;..
16.3. Otro equipo de transporte (CNAE 30-301-303);Empresas innovadoras de producto y de procesos de negocio;Total;19
17. Muebles (CNAE 31);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;310
17. Muebles (CNAE 31);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;72
17. Muebles (CNAE 31);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;14
17. Muebles (CNAE 31);Total de empresas innovadoras (producto y/o procesos de negocio);Total;396
17. Muebles (CNAE 31);Empresas innovadoras de producto;De 10 a 49 empleados;200
17. Muebles (CNAE 31);Empresas innovadoras de producto;De 50 a 249 empleados;59
17. Muebles (CNAE 31);Empresas innovadoras de producto;250 y más empleados;13
17. Muebles (CNAE 31);Empresas innovadoras de producto;Total;272
17. Muebles (CNAE 31);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;15
17. Muebles (CNAE 31);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;15
17. Muebles (CNAE 31);- Exclusivamente innovadoras de producto;250 y más empleados;.
17. Muebles (CNAE 31);- Exclusivamente innovadoras de producto;Total;31
17. Muebles (CNAE 31);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;295
17. Muebles (CNAE 31);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;57
17. Muebles (CNAE 31);Empresas innovadoras de procesos de negocio;250 y más empleados;14
17. Muebles (CNAE 31);Empresas innovadoras de procesos de negocio;Total;365
17. Muebles (CNAE 31);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;110
17. Muebles (CNAE 31);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;13
17. Muebles (CNAE 31);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;1
17. Muebles (CNAE 31);- Exclusivamente innovadoras de procesos de negocio;Total;124
17. Muebles (CNAE 31);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;185
17. Muebles (CNAE 31);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;44
17. Muebles (CNAE 31);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;13
17. Muebles (CNAE 31);Empresas innovadoras de producto y de procesos de negocio;Total;242
18. Otras actividades de fabricación (CNAE 32);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;182
18. Otras actividades de fabricación (CNAE 32);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;55
18. Otras actividades de fabricación (CNAE 32);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;10
18. Otras actividades de fabricación (CNAE 32);Total de empresas innovadoras (producto y/o procesos de negocio);Total;247
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de producto;De 10 a 49 empleados;121
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de producto;De 50 a 249 empleados;51
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de producto;250 y más empleados;8
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de producto;Total;179
18. Otras actividades de fabricación (CNAE 32);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;16
18. Otras actividades de fabricación (CNAE 32);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;8
18. Otras actividades de fabricación (CNAE 32);- Exclusivamente innovadoras de producto;250 y más empleados;.
18. Otras actividades de fabricación (CNAE 32);- Exclusivamente innovadoras de producto;Total;24
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;166
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;47
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de procesos de negocio;250 y más empleados;10
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de procesos de negocio;Total;223
18. Otras actividades de fabricación (CNAE 32);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;61
18. Otras actividades de fabricación (CNAE 32);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;5
18. Otras actividades de fabricación (CNAE 32);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;2
18. Otras actividades de fabricación (CNAE 32);- Exclusivamente innovadoras de procesos de negocio;Total;68
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;105
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;43
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;8
18. Otras actividades de fabricación (CNAE 32);Empresas innovadoras de producto y de procesos de negocio;Total;155
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;284
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;61
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;13
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Total de empresas innovadoras (producto y/o procesos de negocio);Total;357
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de producto;De 10 a 49 empleados;117
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de producto;De 50 a 249 empleados;32
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de producto;250 y más empleados;9
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de producto;Total;158
19. Reparación e instalación de maquinaria y equipo (CNAE 33);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;39
19. Reparación e instalación de maquinaria y equipo (CNAE 33);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;5
19. Reparación e instalación de maquinaria y equipo (CNAE 33);- Exclusivamente innovadoras de producto;250 y más empleados;2
19. Reparación e instalación de maquinaria y equipo (CNAE 33);- Exclusivamente innovadoras de producto;Total;46
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;245
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;56
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de procesos de negocio;250 y más empleados;10
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de procesos de negocio;Total;311
19. Reparación e instalación de maquinaria y equipo (CNAE 33);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;167
19. Reparación e instalación de maquinaria y equipo (CNAE 33);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;29
19. Reparación e instalación de maquinaria y equipo (CNAE 33);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;4
19. Reparación e instalación de maquinaria y equipo (CNAE 33);- Exclusivamente innovadoras de procesos de negocio;Total;200
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;78
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;27
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;6
19. Reparación e instalación de maquinaria y equipo (CNAE 33);Empresas innovadoras de producto y de procesos de negocio;Total;112
20. Energía y agua (CNAE 35, 36);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;197
20. Energía y agua (CNAE 35, 36);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;56
20. Energía y agua (CNAE 35, 36);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;37
20. Energía y agua (CNAE 35, 36);Total de empresas innovadoras (producto y/o procesos de negocio);Total;290
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de producto;De 10 a 49 empleados;47
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de producto;De 50 a 249 empleados;22
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de producto;250 y más empleados;28
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de producto;Total;96
20. Energía y agua (CNAE 35, 36);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;5
20. Energía y agua (CNAE 35, 36);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;2
20. Energía y agua (CNAE 35, 36);- Exclusivamente innovadoras de producto;250 y más empleados;.
20. Energía y agua (CNAE 35, 36);- Exclusivamente innovadoras de producto;Total;7
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;192
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;54
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de procesos de negocio;250 y más empleados;37
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de procesos de negocio;Total;284
20. Energía y agua (CNAE 35, 36);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;150
20. Energía y agua (CNAE 35, 36);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;35
20. Energía y agua (CNAE 35, 36);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;9
20. Energía y agua (CNAE 35, 36);- Exclusivamente innovadoras de procesos de negocio;Total;194
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;42
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;20
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;28
20. Energía y agua (CNAE 35, 36);Empresas innovadoras de producto y de procesos de negocio;Total;90
21. Saneamiento, gestión de residuos y descontaminación (CNAE 37, 38, 39);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;139
21. Saneamiento, gestión de residuos y descontaminación (CNAE 37, 38, 39);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;48
21. Saneamiento, gestión de residuos y descontaminación (CNAE 37, 38, 39);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;28
21. Saneamiento, gestión de residuos y descontaminación (CNAE 37, 38, 39);Total de empresas innovadoras (producto y/o procesos de negocio);Total;214
21. Saneamiento, gestión de residuos y descontaminación (CNAE 37, 38, 39);Empresas innovadoras de producto;De 10 a 49 empleados;81
21. Saneamiento, gestión de residuos y descontaminación (CNAE 37, 38, 39);Empresas innovadoras de producto;De 50 a 249 empleados;22
21. Saneamiento, gestión de residuos y descontaminación (CNAE 37, 38, 39);Empresas innovadoras de producto;250 y más empleados;13
